CHECKSUM,NODEGROUP,DATA_FREE,TABLE_ROWS,TABLE_NAME,CHECK_TIME,UPDATE_TIME,CREATE_TIME,DATA_LENGTH,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,AVG_ROW_LENGTH,PARTITION_NAME,TABLESPACE_NAME,MAX_DATA_LENGTH,PARTITION_METHOD,SUBPARTITION_NAME,PARTITION_COMMENT,SUBPARTITION_METHOD,PARTITION_EXPRESSION,PARTITION_DESCRIPTION,SUBPARTITION_EXPRESSION,PARTITION_ORDINAL_POSITION,SUBPARTITION_ORDINAL_POSITION
NULL,<blank>,0,0,CHARACTER_SETS,NULL,NULL,2018-09-20 20:47:13,0,0,information_schema,def,384,NULL,NULL,16434816,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,COLLATIONS,NULL,NULL,2018-09-20 20:47:13,0,0,information_schema,def,231,NULL,NULL,16704765,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,COLLATION_CHARACTER_SET_APPLICABILITY,NULL,NULL,2018-09-20 20:47:13,0,0,information_schema,def,195,NULL,NULL,16357770,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,COLUMNS,NULL,2018-09-20 20:47:13,2018-09-20 20:47:13,0,1024,information_schema,def,0,NULL,NULL,281474976710655,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,COLUMN_PRIVILEGES,NULL,NULL,2018-09-20 20:47:13,0,0,information_schema,def,2565,NULL,NULL,16757145,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,ENGINES,NULL,NULL,2018-09-20 20:47:13,0,0,information_schema,def,490,NULL,NULL,16574250,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,EVENTS,NULL,2018-09-20 20:47:13,2018-09-20 20:47:13,0,1024,information_schema,def,0,NULL,NULL,281474976710655,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,FILES,NULL,NULL,2018-09-20 20:47:13,0,0,information_schema,def,2677,NULL,NULL,16758020,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,GLOBAL_STATUS,NULL,NULL,2018-09-20 20:47:13,0,0,information_schema,def,3268,NULL,NULL,16755036,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,GLOBAL_VARIABLES,NULL,NULL,2018-09-20 20:47:13,0,0,information_schema,def,3268,NULL,NULL,16755036,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,KEY_COLUMN_USAGE,NULL,NULL,2018-09-20 20:47:13,0,0,information_schema,def,4637,NULL,NULL,16762755,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,PARAMETERS,NULL,2018-09-20 20:47:13,2018-09-20 20:47:13,0,1024,information_schema,def,0,NULL,NULL,281474976710655,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
